station_code	soil_code	locality	sexe	nivins	langues	perschar	nbract	actprin	actsec1	actsec2	actsec3	bovins	ovins	caprins	asins	porcins	volailles	charrue	daba_houe	charrette	pulve	rayon	semoir	tricyc	suptot	supasso	prctsasso	typass	pluvio4	pluvio5	pluvio6	pluvio7	pluvio8	pluvio9	pluvio10	dismai	Argil	limon	sable	granuloc	tysopa	pHeau	MO	Nto	Kto	Pto	precul2014	precul2015	precul2016	typrot	varsorgh	varnieb	pracul	modsem	FO_Qte	FO_date	denpoq	datesem	freqsar	NPK_date	NPK_qte	uree_date	uree_qte	rdtsor	rdtnieb
BU_SER	BU_SER_01	Sera	1	1	2	32	25	1	2	0	0	6	31	15	1	0	31	1	4	1	1	0	0	1	15	8	53.3	1	0	156	118.5	162.5	177.5	180.5	18.5	1000	19.2	20.4	60.5	5	5	5.4	1.1	0.4	554	120	3	3	3	5	14	1	6	2	2	2	20833	2	3	NA	156.3	40	93.8	287.5	153.13
BU_SER	BU_SER_02	Sera	1	0	1	10	5	1	2	4	0	0	4	7	1	0	10	1	4	0	0	0	0	0	2	1.5	75	1	0	156	118.5	162.5	177.5	180.5	18.5	1500	20.6	27.5	51.9	4	5	5.9	0.5	0.2	416	83	3	3	3	5	14	1	3	3	4	20	55556	35	3	6	156.3	0	0	118.75	543.75
BU_SER	BU_SER_03	Sera	1	0	1	11	9	1	2	5	0	2	3	3	1	0	0	1	4	1	0	0	0	0	3	2.5	83.3	1	0	156	118.5	162.5	177.5	180.5	18.5	1000	0	44.9	55.1	5	2	6.3	0.8	0.4	552	147	3	3	3	5	15	1	3	2	2	48	20833	33	3	0	0	0	0	234.38	287.5
BU_SER	BU_SER_04	Sera	1	0	1	15	7	1	2	3	4	1	8	1	2	0	10	1	3	1	0	0	0	0	4	3	75	1	0	156	118.5	162.5	177.5	180.5	18.5	300	12.3	31.7	56	5	6	6	0.7	0.6	971	110	3	3	3	5	16	1	6	2	2	19	20833	35	2	19	187.5	44	62.5	578.13	162.5
BU_SER	BU_SER_05	Sera	2	0	1	10	4	1	2	0	0	1	0	0	1	0	4	1	4	1	0	0	0	0	3	1.5	50	1	0	156	118.5	162.5	177.5	180.5	18.5	300	18.5	25.4	56.1	5	6	6.9	1.5	0.7	831	202	3	3	3	5	14	1	6	2	4	15	31250	50	2	21	187.5	0	0	493.75	200
BU_SER	BU_SER_06	Sera	1	1	2	15	9	1	2	0	0	4	15	10	4	0	12	1	9	1	0	0	0	1	1.5	1	66.7	1	0	156	118.5	162.5	177.5	180.5	18.5	50	20.2	20.2	59.6	4	2	7.2	0.8	0.5	552	202	5	2	3	14	10	1	3	2	4	37	15625	32	2	0	0	0	0	450	225
BU_SER	BU_SER_07	Sera	1	1	2	6	3	1	2	0	0	1	3	7	1	0	5	1	3	1	0	0	0	0	1.5	1	66.7	1	0	156	118.5	162.5	177.5	180.5	18.5	50	6.8	27.2	66	5	4	7.1	2.1	1.1	1250	377	3	3	3	5	14	1	6	2	3	-29	20833	46	2	0	0	0	0	906.25	143.75
BU_SER	BU_SER_08	Sera	1	0	1	17	8	1	2	0	0	4	15	10	3	0	20	1	6	1	0	0	0	0	4	2.5	62.5	1	0	156	118.5	162.5	177.5	180.5	18.5	500	6.8	30.7	62.5	5	2	8.1	1.7	0.9	833	441	3	3	3	5	14	1	6	2	3	25	20833	51	2	10	312.5	37	125	515.63	140.63
BU_SER	BU_SER_09	Sera	1	1	2	10	4	1	2	0	0	0	7	0	1	0	20	1	4	1	0	0	0	0	2	1.5	75	1	0	156	118.5	162.5	177.5	180.5	18.5	100	20.3	20.3	59.5	4	6	6	0.6	0.3	695	101	3	3	3	5	16	1	6	2	2	0	27778	51	2	12	125	0	0	412.5	287.5
BU_SER	BU_SER_10	Sera	1	0	1	10	5	1	2	0	0	2	2	0	0	0	2	1	5	0	0	0	0	0	2	1.5	75	1	0	156	118.5	162.5	177.5	180.5	18.5	2000	20.2	23.6	56.2	4	2	6.1	0.6	0.3	829	138	3	3	3	5	16	1	6	2	5	36	31250	31	3	32	93.8	0	0	340.63	225
